,selection,embed_selector,model,params,metric,score
30,none,none,rf,"{""n_estimators"": 100, ""reg_alpha"": 4.1827148907238715e-08, ""reg_lambda"": 0.0031701022698201768, ""num_leaves"": 50, ""colsample_bytree"": 0.8936001143565108, ""subsample"": 0.8803794633305745, ""subsample_freq"": 4, ""min_child_samples"": 71, ""bagging_fraction"": 0.8899932686868907}",acc,1.0
31,assoc,none,rf,"{""n_estimators"": 50, ""reg_alpha"": 5.3785186088120635e-05, ""reg_lambda"": 1.076875029654008e-05, ""num_leaves"": 46, ""colsample_bytree"": 0.9275135795386256, ""subsample"": 0.42269449071571263, ""subsample_freq"": 6, ""min_child_samples"": 6, ""bagging_fraction"": 0.9037869869626284}",acc,1.0
32,pred,none,rf,"{""n_estimators"": 50, ""reg_alpha"": 0.8219722962339596, ""reg_lambda"": 6.946271850069663e-08, ""num_leaves"": 12, ""colsample_bytree"": 0.8780963862153054, ""subsample"": 0.5643567953473811, ""subsample_freq"": 3, ""min_child_samples"": 33, ""bagging_fraction"": 0.5033108380235117}",acc,1.0
33,embed,lgbm,rf,"{""n_estimators"": 50, ""reg_alpha"": 1.1830107921638413e-07, ""reg_lambda"": 7.213347616635992e-05, ""num_leaves"": 3, ""colsample_bytree"": 0.40788778583846164, ""subsample"": 0.5798333896712208, ""subsample_freq"": 5, ""min_child_samples"": 51, ""bagging_fraction"": 0.4625663195836139}",acc,1.0
34,embed,linear,rf,"{""n_estimators"": 100, ""reg_alpha"": 3.9003879305531496e-05, ""reg_lambda"": 1.3623035104416314, ""num_leaves"": 26, ""colsample_bytree"": 0.46539065376179983, ""subsample"": 0.8139692349894342, ""subsample_freq"": 4, ""min_child_samples"": 74, ""bagging_fraction"": 0.7997769752213443}",acc,1.0
35,wrap,none,rf,"{""n_estimators"": 50, ""reg_alpha"": 4.317969506530709e-05, ""reg_lambda"": 5.208097111045535, ""num_leaves"": 2, ""colsample_bytree"": 0.47604979734742686, ""subsample"": 0.43341859882106615, ""subsample_freq"": 3, ""min_child_samples"": 95, ""bagging_fraction"": 0.48660902047540533}",acc,1.0
36,none,none,sgd,"{""loss"": ""modified_huber"", ""eta0"": 0.0016805868258685647, ""early_stopping"": false}",acc,1.0
37,assoc,none,sgd,"{""loss"": ""log_loss"", ""eta0"": 0.8981720900630676, ""early_stopping"": false}",acc,1.0
38,pred,none,sgd,"{""loss"": ""modified_huber"", ""eta0"": 0.15369873078349336, ""early_stopping"": false}",acc,0.966
39,embed,lgbm,sgd,"{""loss"": ""modified_huber"", ""eta0"": 7.452677564952925e-05, ""early_stopping"": false}",acc,1.0
40,embed,linear,sgd,"{""loss"": ""log_loss"", ""eta0"": 0.0006536895787619844, ""early_stopping"": false}",acc,1.0
41,wrap,none,sgd,"{""loss"": ""log_loss"", ""eta0"": 1.64023785731766, ""early_stopping"": false}",acc,1.0
