,selection,embed_selector,model,params,metric,score
25,assoc,none,lr,"{""l1_ratio"": 0.7952765534741394, ""C"": 0.2050702561782925}",acc,0.7935686274509803
26,pred,none,lr,"{""l1_ratio"": 0.3728633511965451, ""C"": 0.1088524192862742}",acc,0.8132549019607843
27,embed,lgbm,lr,"{""l1_ratio"": 0.3289594850136181, ""C"": 98.56012741573761}",acc,0.6989019607843137
28,embed,linear,lr,"{""l1_ratio"": 0.0968606856041339, ""C"": 1.882829053697293}",acc,0.7899607843137255
29,wrap,none,lr,"{""l1_ratio"": 0.3981182715125425, ""C"": 0.33049630834024796}",acc,0.7854901960784314
30,none,none,rf,"{""n_estimators"": 100, ""reg_alpha"": 1.3748358760220211e-08, ""reg_lambda"": 0.0007248824711324855, ""num_leaves"": 4, ""colsample_bytree"": 0.6130119709787275, ""subsample"": 0.7178720908091862, ""subsample_freq"": 4, ""min_child_samples"": 7, ""bagging_fraction"": 0.727091287577083}",acc,0.7972549019607843
31,assoc,none,rf,"{""n_estimators"": 150, ""reg_alpha"": 0.004090181510323348, ""reg_lambda"": 6.794974671750027e-05, ""num_leaves"": 123, ""colsample_bytree"": 0.534065882344831, ""subsample"": 0.7731636333426618, ""subsample_freq"": 2, ""min_child_samples"": 26, ""bagging_fraction"": 0.5900000585675486}",acc,0.7857254901960784
32,pred,none,rf,"{""n_estimators"": 150, ""reg_alpha"": 0.007430543475002548, ""reg_lambda"": 0.04691037832450082, ""num_leaves"": 31, ""colsample_bytree"": 0.6863887952581814, ""subsample"": 0.964842722239464, ""subsample_freq"": 7, ""min_child_samples"": 9, ""bagging_fraction"": 0.43658316819848425}",acc,0.8016470588235295
33,embed,lgbm,rf,"{""n_estimators"": 300, ""reg_alpha"": 1.4250053174782526e-08, ""reg_lambda"": 1.3472664668341696, ""num_leaves"": 6, ""colsample_bytree"": 0.9451993209098225, ""subsample"": 0.6796576325225794, ""subsample_freq"": 0, ""min_child_samples"": 47, ""bagging_fraction"": 0.888751003493257}",acc,0.7265098039215685
34,embed,linear,rf,"{""n_estimators"": 150, ""reg_alpha"": 0.0007101032923368696, ""reg_lambda"": 0.43072717462047927, ""num_leaves"": 3, ""colsample_bytree"": 0.6857785860693189, ""subsample"": 0.7162882918580974, ""subsample_freq"": 5, ""min_child_samples"": 17, ""bagging_fraction"": 0.6446929235846405}",acc,0.7934901960784313
35,wrap,none,rf,"{""n_estimators"": 100, ""reg_alpha"": 9.223679988543802e-08, ""reg_lambda"": 4.0791843454018637e-07, ""num_leaves"": 3, ""colsample_bytree"": 0.9686343900474447, ""subsample"": 0.6613423481225773, ""subsample_freq"": 2, ""min_child_samples"": 31, ""bagging_fraction"": 0.7450383014288798}",acc,0.7854901960784314
36,none,none,sgd,"{""loss"": ""modified_huber"", ""eta0"": 0.010519558280747469, ""early_stopping"": false}",acc,0.7700392156862744
37,assoc,none,sgd,"{""loss"": ""modified_huber"", ""eta0"": 0.0063393786116182375, ""early_stopping"": false}",acc,0.7738823529411765
38,pred,none,sgd,"{""loss"": ""modified_huber"", ""eta0"": 0.8150631354572323, ""early_stopping"": false}",acc,0.8213333333333335
39,embed,lgbm,sgd,"{""loss"": ""log_loss"", ""eta0"": 1.6948709698485205, ""early_stopping"": false}",acc,0.6552941176470588
40,embed,linear,sgd,"{""loss"": ""log_loss"", ""eta0"": 0.17214724270644963, ""early_stopping"": false}",acc,0.7818039215686274
41,wrap,none,sgd,"{""loss"": ""modified_huber"", ""eta0"": 0.00029200665668444145, ""early_stopping"": false}",acc,0.7854901960784314
