,selection,embed_selector,model,params,metric,score
31,assoc,none,rf,"{""n_estimators"": 100, ""reg_alpha"": 0.0030083510909502073, ""reg_lambda"": 0.0009607291835514318, ""num_leaves"": 37, ""colsample_bytree"": 0.6546859055205667, ""subsample"": 0.7515957749970722, ""subsample_freq"": 2, ""min_child_samples"": 6, ""bagging_fraction"": 0.49835534294217276}",acc,0.8320000000000001
32,pred,none,rf,"{""n_estimators"": 250, ""reg_alpha"": 1.5437805538476087e-07, ""reg_lambda"": 1.3273364587212572e-05, ""num_leaves"": 63, ""colsample_bytree"": 0.6010461666445374, ""subsample"": 0.6603647393668688, ""subsample_freq"": 6, ""min_child_samples"": 15, ""bagging_fraction"": 0.9457000171285567}",acc,0.8260000000000002
33,embed,lgbm,rf,"{""n_estimators"": 250, ""reg_alpha"": 0.005798110695942171, ""reg_lambda"": 0.008473646703526455, ""num_leaves"": 77, ""colsample_bytree"": 0.9204293116671208, ""subsample"": 0.8059567378687492, ""subsample_freq"": 1, ""min_child_samples"": 5, ""bagging_fraction"": 0.4485544903440993}",acc,0.6980000000000001
34,embed,linear,rf,"{""n_estimators"": 150, ""reg_alpha"": 2.1220242217875755e-07, ""reg_lambda"": 3.939301852321749e-06, ""num_leaves"": 212, ""colsample_bytree"": 0.43289222875159267, ""subsample"": 0.6280307043925951, ""subsample_freq"": 2, ""min_child_samples"": 5, ""bagging_fraction"": 0.4751426259844228}",acc,0.826
35,wrap,none,rf,"{""n_estimators"": 200, ""reg_alpha"": 0.21258667138883364, ""reg_lambda"": 1.0764012914421206e-05, ""num_leaves"": 67, ""colsample_bytree"": 0.94913081991768, ""subsample"": 0.897398019601991, ""subsample_freq"": 1, ""min_child_samples"": 53, ""bagging_fraction"": 0.7607817817195874}",acc,0.77
36,none,none,sgd,"{""loss"": ""log_loss"", ""eta0"": 0.6295202187080301, ""early_stopping"": false}",acc,0.766
37,assoc,none,sgd,"{""loss"": ""log_loss"", ""eta0"": 0.0019227672293697091, ""early_stopping"": false}",acc,0.7619999999999999
38,pred,none,sgd,"{""loss"": ""log_loss"", ""eta0"": 0.12478173122680813, ""early_stopping"": false}",acc,0.776
39,embed,lgbm,sgd,"{""loss"": ""log_loss"", ""eta0"": 0.007122182157860044, ""early_stopping"": false}",acc,0.6599999999999999
40,embed,linear,sgd,"{""loss"": ""modified_huber"", ""eta0"": 0.03958564030894105, ""early_stopping"": false}",acc,0.78
41,wrap,none,sgd,"{""loss"": ""modified_huber"", ""eta0"": 0.002595692153945942, ""early_stopping"": true}",acc,0.706
