,selection,embed_selector,model,params,metric,score
18,embed,lgbm,lgbm,"{""n_estimators"": 50, ""reg_alpha"": 7.249044763399561, ""reg_lambda"": 3.27295962033015e-06, ""num_leaves"": 143, ""colsample_bytree"": 0.4493508755511747, ""subsample"": 0.8751271437718727, ""subsample_freq"": 3, ""min_child_samples"": 9}",acc,1.0
19,embed,linear,lgbm,"{""n_estimators"": 50, ""reg_alpha"": 1.343523067934909e-05, ""reg_lambda"": 1.7488623190265928e-07, ""num_leaves"": 7, ""colsample_bytree"": 0.7411880011679544, ""subsample"": 0.7491955939639748, ""subsample_freq"": 7, ""min_child_samples"": 74}",acc,1.0
20,none,none,lr,"{""l1_ratio"": 0.6089482376262366, ""C"": 32.39449636234901}",acc,0.996078431372549
21,assoc,none,lr,"{""l1_ratio"": 0.7078618982438325, ""C"": 10.21321133304729}",acc,0.996078431372549
22,pred,none,lr,"{""l1_ratio"": 0.22945335397550892, ""C"": 12.35512871091304}",acc,0.9920784313725491
23,embed,lgbm,lr,"{""l1_ratio"": 0.4318985120652276, ""C"": 0.74901789355716}",acc,1.0
24,embed,linear,lr,"{""l1_ratio"": 0.9819961973124337, ""C"": 0.29757269892158295}",acc,0.996078431372549
25,none,none,rf,"{""n_estimators"": 50, ""reg_alpha"": 9.707924104093137e-06, ""reg_lambda"": 3.8067713452410353e-06, ""num_leaves"": 5, ""colsample_bytree"": 0.6962213634565348, ""subsample"": 0.8088641670486315, ""subsample_freq"": 7, ""min_child_samples"": 25, ""bagging_fraction"": 0.735090190740758}",acc,1.0
26,assoc,none,rf,"{""n_estimators"": 100, ""reg_alpha"": 0.07663007382046759, ""reg_lambda"": 0.08147535272549727, ""num_leaves"": 5, ""colsample_bytree"": 0.9757681250721346, ""subsample"": 0.7794003100442414, ""subsample_freq"": 5, ""min_child_samples"": 6, ""bagging_fraction"": 0.665431760062546}",acc,1.0
27,pred,none,rf,"{""n_estimators"": 50, ""reg_alpha"": 2.8872278185174016e-06, ""reg_lambda"": 0.96853033526802, ""num_leaves"": 11, ""colsample_bytree"": 0.8693724443023813, ""subsample"": 0.8990750440171291, ""subsample_freq"": 3, ""min_child_samples"": 46, ""bagging_fraction"": 0.6263165096346827}",acc,1.0
28,embed,lgbm,rf,"{""n_estimators"": 100, ""reg_alpha"": 9.14282168205814e-05, ""reg_lambda"": 0.698059863798156, ""num_leaves"": 5, ""colsample_bytree"": 0.9534993290073649, ""subsample"": 0.48765876686845394, ""subsample_freq"": 6, ""min_child_samples"": 28, ""bagging_fraction"": 0.7661265747324311}",acc,1.0
29,embed,linear,rf,"{""n_estimators"": 100, ""reg_alpha"": 3.666867598335326, ""reg_lambda"": 4.5609238508653243e-07, ""num_leaves"": 111, ""colsample_bytree"": 0.868190193711715, ""subsample"": 0.9652707579857309, ""subsample_freq"": 1, ""min_child_samples"": 21, ""bagging_fraction"": 0.5445966085186952}",acc,1.0
30,none,none,sgd,"{""loss"": ""modified_huber"", ""eta0"": 6.401443517851772e-05, ""early_stopping"": false}",acc,0.996078431372549
31,assoc,none,sgd,"{""loss"": ""log_loss"", ""eta0"": 0.12748568902005308, ""early_stopping"": false}",acc,0.996078431372549
32,pred,none,sgd,"{""loss"": ""log_loss"", ""eta0"": 0.1758219139682827, ""early_stopping"": false}",acc,0.9646274509803922
33,embed,lgbm,sgd,"{""loss"": ""modified_huber"", ""eta0"": 0.00010496592453149583, ""early_stopping"": false}",acc,1.0
34,embed,linear,sgd,"{""loss"": ""modified_huber"", ""eta0"": 0.0004096811264033214, ""early_stopping"": false}",acc,0.9920784313725491
